user_id,register_date,gender,age_group,device,province,city,address,occupation,user_segment
U000001,2025-09-17,F,25-34,mac,北京市,北京市,北京市北京市朝阳区,其他,high_value
U000002,2025-10-18,F,45-54,android,浙江省,杭州市,浙江省杭州市浦东新区,金融从业者,high_value
U000003,2025-12-24,F,18-24,ios,山东省,青岛市,山东省青岛市武侯区,互联网从业者,high_value
U000004,2025-11-06,M,45-54,ios,四川省,成都市,四川省成都市南山区,设计师,high_value
U000005,2025-09-25,F,25-34,mac,上海市,上海市,上海市上海市武侯区,金融从业者,high_value
U000006,2025-09-11,M,35-44,windows,江苏省,南京市,江苏省南京市武侯区,自由职业,high_value
U000007,2025-08-14,F,18-24,ios,江苏省,南京市,江苏省南京市浦东新区,互联网从业者,high_value
U000008,2025-10-08,F,25-34,mac,江苏省,南京市,江苏省南京市南山区,自由职业,high_value
U000009,2025-12-05,M,45-54,ios,江苏省,南京市,江苏省南京市朝阳区,企业管理,high_value
U000010,2025-11-09,M,35-44,android,浙江省,杭州市,浙江省杭州市朝阳区,互联网从业者,high_value
U000011,2025-08-17,F,45-54,mac,浙江省,杭州市,浙江省杭州市西湖区,自由职业,high_value
U000012,2025-09-02,F,25-34,android,山东省,青岛市,山东省青岛市南山区,制造业,high_value
U000013,2025-12-06,F,35-44,android,河南省,郑州市,河南省郑州市浦东新区,金融从业者,high_value
U000014,2025-08-16,F,18-24,ios,湖北省,武汉市,湖北省武汉市武侯区,制造业,high_value
U000015,2025-09-24,F,25-34,mac,湖北省,武汉市,湖北省武汉市武侯区,自由职业,high_value
U000016,2025-08-27,F,25-34,ios,江苏省,南京市,江苏省南京市西湖区,互联网从业者,high_value
U000017,2025-08-05,F,25-34,mac,河南省,郑州市,河南省郑州市武侯区,金融从业者,high_value
U000018,2025-11-04,F,35-44,android,山东省,青岛市,山东省青岛市武侯区,企业管理,high_value
U000019,2025-11-09,F,35-44,android,浙江省,杭州市,浙江省杭州市西湖区,设计师,high_value
U000020,2025-12-05,M,18-24,ios,江苏省,南京市,江苏省南京市浦东新区,金融从业者,high_value
U000021,2025-09-15,F,25-34,ios,山东省,青岛市,山东省青岛市朝阳区,自由职业,high_value
U000022,2025-09-27,F,25-34,ios,江苏省,南京市,江苏省南京市鼓楼区,教师,high_value
U000023,2025-08-14,F,45-54,windows,湖北省,武汉市,湖北省武汉市浦东新区,制造业,high_value
U000024,2025-09-22,F,45-54,ios,湖北省,武汉市,湖北省武汉市南山区,自由职业,high_value
U000025,2025-09-05,M,25-34,mac,四川省,成都市,四川省成都市浦东新区,企业管理,high_value
U000026,2025-11-24,F,45-54,windows,上海市,上海市,上海市上海市西湖区,互联网从业者,high_value
U000027,2025-11-05,M,45-54,mac,浙江省,杭州市,浙江省杭州市朝阳区,医务工作者,high_value
U000028,2025-08-24,M,35-44,windows,四川省,成都市,四川省成都市西湖区,互联网从业者,high_value
U000029,2025-12-12,M,35-44,windows,四川省,成都市,四川省成都市西湖区,医务工作者,high_value
U000030,2025-10-16,F,45-54,windows,福建省,厦门市,福建省厦门市武侯区,医务工作者,high_value
U000031,2025-09-17,M,25-34,mac,江苏省,南京市,江苏省南京市武侯区,自由职业,high_value
U000032,2025-09-08,M,18-24,android,四川省,成都市,四川省成都市西湖区,自由职业,high_value
